;ИЗКУСТВЕН ИНТЕЛЕКТ;проф. И. КОЙЧЕВ;"В ЕЛЕКТРОННА
СРЕДА";П;05.02.;Мудъл;09.00.
;;;;П;06.02.;Мудъл;09.00.
;;;;У;12.02.;Мудъл;09.00.
;кат. Софтуерни технологии;;;У;13.02.;Мудъл;09.00.
;СОФТУЕРНИ АРХИТЕКТУРИ;гл. ас. А. ПАПАПОСТОЛУ;"В ЕЛЕКТРОННА
СРЕДА";04.02.;;Мудъл;09.30.
;кат. Софтуерни технологии;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
"КОМПЮТЪРНИ НАУКИ
IV курс, 2 поток";WEB ТЕХНОЛОГИИ;доц. М. ПЕТРОВ;"В ЕЛЕКТРОННА
СРЕДА";П;26.01.;306;09,30
;кат. Софтуерни технологии;;;У;15.02.;321;09.30.
;ИЗКУСТВЕН ИНТЕЛЕКТ;проф. И. КОЙЧЕВ;"В ЕЛЕКТРОННА
СРЕДА";П;05.02.;Мудъл;09.00.
;;;;П;06.02.;Мудъл;09.00.
;;;;У;12.02.;Мудъл;09.00.
;кат. Софтуерни технологии;;;У;13.02.;Мудъл;09.00.
;СОФТУЕРНИ АРХИТЕКТУРИ;гл. ас. А. ПАПАПОСТОЛУ;"В ЕЛЕКТРОННА
СРЕДА";04.02.;;Мудъл;09.30.
;кат. Софтуерни технологии;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
МАТЕМАТИКА  I курс;АНАЛИТИЧНА ГЕОМЕТРИЯ;"доц. Б.
АЛЕКСАНДРОВ";"ПРИСЪСТВЕНО В
ЗАЛА";П;14.02.;326;10.00.
;кат. Геометрия;;;У;18.02.;500;10.00.
;"ДИФЕРЕНЦИАЛНО И ИНТЕГРАЛНО
СМЯТАНЕ I";гл.ас. М. БИВАС;"В ЕЛЕКТРОННА
СРЕДА";П;26.01.;Мудъл;10.00.
;кат. Математически анализ;;;У;31.01.;Мудъл;10.00.
;ЛИНЕЙНА АЛГЕБРА;доц. С. БУМОВА;ПРИСЪСТВЕНО В ЗАЛА;П;07.02.;326;10.00.
;кат. Алгебра;;;У;10.02.;326;10.00.
;УВОД В ПРОГРАМИРАНЕТО;гл.ас. И. ХРИСТОВ;"В ЕЛЕКТРОННА
СРЕДА";П;03.02.;Мудъл;09.00.
;кат. Компютърна информатика;;;У;04.02.;Мудъл;09.00.
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
МАТЕМАТИКА  II курс;ДИСКРЕТНА МАТЕМАТИКА;доц. А. ДИЧЕВ;"В ЕЛЕКТРОННА
СРЕДА";П;03.02.;Мудъл;09.00.
;кат. Математическа логика и приложенията й;;;У;07.02.;Мудъл;09.00.
;ДИФЕРЕНЦИАЛНИ УРАВНЕНИЯ;доц. О. ХРИСТОВ;"В ЕЛЕКТРОННА
СРЕДА";П;24.01.;Мудъл;10.00.
;кат. Диференциални уравнения;;;У;25.01.;Мудъл;10.00.
;МАТЕМАТИЧЕСКИ АНАЛИЗ 1;гл.ас. Н. ИВАНОВ;"В ЕЛЕКТРОННА
СРЕДА";П;10.02.;Мудъл;09.00.
;кат. Математически анализ;;;У;10.02.;Мудъл;12.00.
;ТЕОРИЯ НА ЧИСЛАТА;гл.ас. Т. ТОДОРОВА;"В ЕЛЕКТРОННА
СРЕДА";П;27.01.;Мудъл;10.00.
;кат. Алгебра;;;У;31.01.;Мудъл;10.00.
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
МАТЕМАТИКА   III курс;АНАЛИТИЧНА МЕХАНИКА;проф. Г. БОЯДЖИЕВ;"ПРИСЪСТВЕНО В
ЗАЛА";27.01.;;каб. 13 А ФзФ;09.00.
;кат. Мехатроника, роботика и механика;;;;;;
;КОМПЛЕКСЕН АНАЛИЗ;"гл.ас. А.
АЛЕКСАНДРОВ";"В ЕЛЕКТРОННА
СРЕДА";П;10.02.;Мудъл;09,00
;кат. Комплексен анализ и топология;;;У;10.02.;Мудъл;12.00.
